"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol","chr","start","end","strand","biotype","description"
"802","ENSG00000152583",954.770931565544,4.3683589601397,0.237136475969045,18.4212864861411,8.86707943971977e-76,1.34291918114556e-71,8404,"SPARCL1","4",87473335,87531061,-1,"protein_coding","SPARC-like 1 (hevin) [Source:HGNC Symbol;Acc:HGNC:11220]"
"1166","ENSG00000179094",743.252688449073,2.86388846357857,0.175558247951491,16.3130385327717,7.97262131985399e-60,6.03726749445943e-56,5187,"PER1","17",8140472,8156506,-1,"protein_coding","period circadian clock 1 [Source:HGNC Symbol;Acc:HGNC:8845]"
"414","ENSG00000116584",2277.91345410747,-1.03469996009243,0.0650527327726109,-15.9055571686617,5.79851304765528e-57,2.92728267022464e-53,9181,"ARHGEF2","1",155946851,156007070,-1,"protein_coding","Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:HGNC:682]"
"1269","ENSG00000189221",2383.75370672631,3.34154414769682,0.212415079829424,15.7312002065964,9.24420638045303e-56,3.50008764079903e-52,4128,"MAOA","X",43654907,43746824,1,"protein_coding","monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]"
"444","ENSG00000120129",3440.70375496308,2.96521084247013,0.203702766040932,14.5565565951829,5.30641629663395e-48,1.60731349625042e-44,1843,"DUSP1","5",172768090,172771195,-1,"protein_coding","dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]"
"762","ENSG00000148175",13493.9203682606,1.42716831224684,0.100366629939448,14.2195499949323,6.92971107557953e-46,1.74917457066087e-42,2040,"STOM","9",121338988,121370304,-1,"protein_coding","stomatin [Source:HGNC Symbol;Acc:HGNC:3383]"
"1164","ENSG00000178695",2685.40973562001,-2.48906888705325,0.17806407208049,-13.9785014347427,2.10881706480841e-44,4.56257634950333e-41,115207,"KCTD12","13",76880166,76886390,-1,"protein_coding","potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]"
"344","ENSG00000109906",439.541520915421,5.92759504591324,0.428194415124056,13.8432329720973,1.39775824772411e-43,2.6461310827227e-40,7704,"ZBTB16","11",114059593,114250676,1,"protein_coding","zinc finger and BTB domain containing 16 [Source:HGNC Symbol;Acc:HGNC:12930]"
"588","ENSG00000134686",2933.64246142684,1.43948979386212,0.105827294036866,13.6022545692292,3.88276949096515e-42,6.53383821562969e-39,1912,"PHC2","1",33323623,33431052,-1,"protein_coding","polyhomeotic homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:3183]"
"235","ENSG00000101347",14134.9917673153,3.85041430472507,0.284907007918232,13.5146352940189,1.28189391151514e-41,1.94142832898968e-38,25939,"SAMHD1","20",36890229,36951843,-1,"protein_coding","SAM domain and HD domain 1 [Source:HGNC Symbol;Acc:HGNC:15925]"
"193","ENSG00000096060",2630.23049426017,3.94505236260229,0.292918209184271,13.4681021490218,2.40980692417777e-41,3.31786598787931e-38,2289,"FKBP5","6",35573585,35728583,-1,"protein_coding","FK506 binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3721]"
"994","ENSG00000166741",7542.25286980186,2.21959059968603,0.166735440882852,13.3120504431059,1.97000025234835e-40,2.48630448515132e-37,4837,"NNMT","11",114257787,114313285,1,"protein_coding","nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861]"
"487","ENSG00000125148",3695.87946177106,2.19856358442965,0.1670054630336,13.1646207524799,1.40240044201318e-39,1.63379651494536e-36,4502,"MT2A","16",56608199,56609497,1,"protein_coding","metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]"
"900","ENSG00000162614",5646.18313812309,1.97114015620688,0.150206309645737,13.122885189416,2.43485420341306e-39,2.63399049362077e-36,91624,"NEXN","1",77888513,77943895,1,"protein_coding","nexilin (F actin binding protein) [Source:HGNC Symbol;Acc:HGNC:29557]"
"311","ENSG00000106976",989.046833637733,-1.85017129092678,0.147786569866595,-12.5192112693116,5.86147079496829e-36,5.91813167931965e-33,1759,"DNM1","9",128203352,128255248,1,"protein_coding","dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]"
"1252","ENSG00000187193",199.07693798836,3.25514240670261,0.260907114094852,12.4762500938139,1.00614633190504e-35,9.52380387293861e-33,4501,"MT1X","16",56682424,56684196,1,"protein_coding","metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]"
"1415","ENSG00000256235",1123.47954131474,1.28011925479446,0.105474383002724,12.136778792642,6.74286158113057e-34,6.00709639095426e-31,85027,"SMIM3","5",150777946,150796734,1,"protein_coding","small integral membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:30248]"
"1157","ENSG00000177666",2639.57019969705,1.13999472385165,0.0960688393667066,11.8664358949955,1.76842181878811e-32,1.48793046919699e-29,57104,"PNPLA2","11",818902,825573,1,"protein_coding","patatin-like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]"
"940","ENSG00000164125",7257.00808055341,1.02485232691719,0.0865760043142459,11.8376025208703,2.49482987897414e-32,1.98864202721386e-29,51313,"FAM198B","4",158124474,158173318,-1,"protein_coding","family with sequence similarity 198, member B [Source:HGNC Symbol;Acc:HGNC:25312]"
"1327","ENSG00000198624",2020.04495478061,2.81410138435384,0.240634293348504,11.6945151299705,1.35961506118583e-31,1.02956850508297e-28,26112,"CCDC69","5",151181052,151224145,-1,"protein_coding","coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]"
